slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
chanel-no-5-leau,Chanel No 5 L'EAU,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Chanel-No-5-L%27Eau-Chanel.jpg,,Qadın,20.00,34.00,52.00,Chanel,"aldehidlər, berqamot, laym, limon, naringi-mandarin, neroli, portağal","fransa-qızılgülü, ilanq-ilanq, jasmin","ağ-müşk, sidr, süsən-kökü, vanil",https://www.etirsah.com/az/product/430,Stokda Var
coco,Coco,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Eau-de-Parfum-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"bolqar-qızılgülü, jasmin, keşniş, naringi-mandarin, şaftalı","mimoza, mixək, portağal-çiçəyi, qızılgül, yonca","labdanum, səndəl, tonka-lobyası, vanil, ənbər, opoponaks",https://www.etirsah.com/az/product/431,Stokda Var
coco,Coco,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Eau-de-Parfum-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"bolqar-qızılgülü, jasmin, keşniş, naringi-mandarin, şaftalı","mimoza, mixək, portağal-çiçəyi, qızılgül, yonca","labdanum, səndəl, tonka-lobyası, vanil, ənbər, opoponaks",https://www.etirsah.com/az/product/432,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,32.00,58.00,92.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, paçuli, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/433,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/434,Stokda Var
coco-mademoiselle,Coco Mademoiselle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-Chanel.jpg,,Qadın,20.00,34.00,52.00,Chanel,"berqamot, naringi-mandarin, portağal-çiçəyi","ilanq-ilanq, jasmin, mimoza, türk-qızılgülü","ağ-müşk, paçuli, tonka-lobyası, vanil, vetivera, opoponaks",https://www.etirsah.com/az/product/435,Stokda Var
coco-mademoiselle-leau-privee,Coco Mademoiselle L`EAU Privee,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Mademoiselle-L%27Eau-Priv%C3%A9e-Chanel.jpg,,Qadın,,,,Chanel,naringi-mandarin,"jasmin, qızılgül",ağ-müşk,https://www.etirsah.com/az/product/436,Stokda Yoxdur
coco-noir,Coco Noir,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coco-Noir-Chanel.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, portağal, qreyfrut","jasmin, nərgiz, qızılgül, şaftalı, ətirşah","ağ-müşk, benzoin, mixək, paçuli, səndəl, tonka-lobyası, vanil, büxur-ladan",https://www.etirsah.com/az/product/437,Stokda Var
coromandel,Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Coromandel.jpg,,Unisex,,,,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, benzoin, müşk, ənbər, büxur-ladan, olibanum",https://www.etirsah.com/az/product/438,Stokda Yoxdur
coromandel,Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Coromandel.jpg,,Unisex,20.00,34.00,52.00,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, benzoin, müşk, ənbər, büxur-ladan, olibanum",https://www.etirsah.com/az/product/439,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/440,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/441,Stokda Var
egoiste-platinum,Egoiste Platinum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Egoiste-Platinum-Chanel-for-men.jpg,,Kişi,14.00,22.00,32.00,Chanel,"lavanda, neroli, rozmarin, petitgreyn-sitrus-yarpağı","jasmin, müşk-sürvəsi-adaçayı, ətirşah, qalbanum","palıd-mamırı, sidr, səndəl, vetivera, ənbər",https://www.etirsah.com/az/product/442,Stokda Var
gabrielle-essence,Gabrielle Essence,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Essence-Chanel-for-women.jpg,,Qadın,26.00,46.00,72.00,Chanel,"qırmızı-giləmeyvələr, şaftalı, sitrus","ağ-çiçəklər, ilanq-ilanq, jasmin, kokos, portağal-çiçəyi, tuberoza","müşk, səndəl, vanil",https://www.etirsah.com/az/product/443,Stokda Var
chanel-gabrielle,Chanel Gabrielle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Chanel-for-women.jpg,,Qadın,20.00,34.00,52.00,Chanel,"naringi-mandarin, qreyfrut, qara-qarağat","armud, çəhrayı-istiot, ilanq-ilanq, jasmin, portağal-çiçəyi, tuberoza, inciçiçəyi","müşk, süsən-kökü, səndəl, kaşmeran",https://www.etirsah.com/az/product/444,Stokda Var
chanel-gabrielle,Chanel Gabrielle,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Gabrielle-Chanel-for-women.jpg,,Qadın,,,,Chanel,"naringi-mandarin, qreyfrut, qara-qarağat","armud, çəhrayı-istiot, ilanq-ilanq, jasmin, portağal-çiçəyi, tuberoza, inciçiçəyi","müşk, süsən-kökü, səndəl, kaşmeran",https://www.etirsah.com/az/product/445,Stokda Yoxdur
gabrielle-royal-edition,Gabrielle royal edition,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---GABRIELLE-ROYAL-EDITION-FOR-WOMEN.jpg,,Qadın,38.00,70.00,112.00,Chanel,"jasmin, tuberoza","portağal-çiçəyi, vanil","ilanq-ilanq, səndəl",https://www.etirsah.com/az/product/446,Stokda Var
les-exclusifs-de-chanel-coromandel,Les Exclusifs de Chanel Coromandel,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Coromandel-Eau-de-Parfum-Chanel.jpg,,Qadın,26.00,46.00,72.00,Chanel,"acı-portağal, neroli, sitrus","jasmin, paçuli, qızılgül, süsən-kökü","ağ-şokolad, ağac-notları, müşk, vanil, büxur-ladan, olibanum",https://www.etirsah.com/az/product/447,Stokda Var
les-exclusifs-de-chanel-jersey,Les Exclusifs de Chanel Jersey,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Les-Exclusifs-de-Chanel-Jersey-Chanel-for-women.jpg,,Qadın,38.00,70.00,112.00,Chanel,"jasmin, lavanda","çöl-çiçəkləri, ot, qızılgül","müşk, tonka-lobyası, vanil",https://www.etirsah.com/az/product/448,Stokda Var
les-exclusifs-de-chanel-no-18,Les Exclusifs de Chanel No 18,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/Les-Exclusifs-de-Chanel-No-18-Chanel-for-women.jpg,,Qadın,,,,Chanel,ambretta-müşk-əməköməcisi,"meyvə-notları, süsən","ağac-notları, çiçək-notları",https://www.etirsah.com/az/product/449,Stokda Yoxdur
n1-de-chanel-leau-rouge,N°1 de Chanel L'EAU Rouge,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/N%C2%B01-de-Chanel-L%27Eau-Rouge-Chanel-for-women.jpg,,Qadın,20.00,34.00,52.00,Chanel,"qırmızı-giləmeyvələr, sitrus","jasmin, portağal-çiçəyi, qızılgül","müşk, süsən",https://www.etirsah.com/az/product/450,Stokda Var
chanel-no-19,Chanel No 19,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---NO-19-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chanel,"berqamot, neroli, yaşıl-notlar","ilanq-ilanq, nərgiz, qızılgül, süsən, inciçiçəyi","dəri, palıd-mamırı, səndəl, vetivera",https://www.etirsah.com/az/product/451,Stokda Var
paris-biarritz,Paris – Biarritz,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---BIARRITZ-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Chanel,"berqamot, limon, naringi-mandarin, portağal, qreyfrut","neroli, yaşıl-notlar, inciçiçəyi","ağ-müşk, paçuli",https://www.etirsah.com/az/product/452,Stokda Var
paris-deauville,Paris – Deauville,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---DEAUVILLE-FOR-UNISEX.jpg,,Qadın,44.00,82.00,132.00,Chanel,"berqamot, laym, limon, reyhan, petitgreyn-sitrus-yarpağı","jasmin, qızılgül, yaşıl-notlar, hedion",paçuli,https://www.etirsah.com/az/product/453,Stokda Var
paris-paris,Paris – Paris,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---PARIS-FOR-WOMEN.jpg,,Qadın,32.00,58.00,92.00,Chanel,"çəhrayı-istiot, limon, sitrus",damask-qızılgülü,paçuli,https://www.etirsah.com/az/product/454,Stokda Var
paris-venise,Paris – Venise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---VENISE-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Chanel,"çəhrayı-istiot, limon, portağal, petitgreyn-sitrus-yarpağı","ilanq-ilanq, neroli, qızılgül, süsən, ətirşah","ağ-müşk, benzoin, bənövşə, süsən-kökü, tonka-lobyası, vanil",https://www.etirsah.com/az/product/455,Stokda Var
paris-venise,Paris – Venise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---PARIS---VENISE-FOR-UNISEX.jpg,,Unisex,,,,Chanel,"berqamot, çəhrayı-istiot, limon, portağal, petitgreyn-sitrus-yarpağı","ilanq-ilanq, neroli, qızılgül, süsən, ətirşah","ağ-müşk, benzoin, bənövşə, süsən-kökü, tonka-lobyası, vanil",https://www.etirsah.com/az/product/456,Stokda Yoxdur
chanel-sycomore,Chanel Sycomore,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---SYCOMORE-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,Chanel,"ambroksan, bənövşə, çəhrayı-istiot, qreyfrut","vetivera, ardıc, sərv","səndəl-ağacı, tütün, büxur-ladan",https://www.etirsah.com/az/product/457,Stokda Var
chanel-sycomore,Chanel Sycomore,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chanel/CHANEL---SYCOMORE-FOR-UNISEX.jpg,,Unisex,,,,Chanel,"ambroksan, bənövşə, çəhrayı-istiot, qreyfrut","vetivera, ardıc, sərv","səndəl-ağacı, tütün, büxur-ladan",https://www.etirsah.com/az/product/458,Stokda Yoxdur
chloe-eau-de-parfum,Chloe Eau de Parfum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHLOE/CHLOE---CHLOE-EAU-DE-PARFUM-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Chloé,"freziya, liçi, pion","maqnoliya, qızılgül, inciçiçəyi","ənbər, virciniya-sidri",https://www.etirsah.com/az/product/459,Stokda Var
chloe-fleur-de-parfum,Chloe Fleur de Parfum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Chloe-Fleur-de-Parfum.jpg,,Qadın,,,,Chloé,"berqamot, minaçiçəyi-verbena, qreyfrut","albalı-çiçəyi, qızılgül, şaftalı, qara-qarağat","ağ-müşk, sidr, düyü",https://www.etirsah.com/az/product/460,Stokda Yoxdur
love-story,Love Story,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Love-Story-Chlo%C3%A9.jpg,,Qadın,14.00,22.00,32.00,Chloé,"armud, berqamot, limon, neroli, qreyfrut","portağal-çiçəyi, qızılgül, şaftalı, stefanotis","müşk, paçuli, sidr, kaşmir-ağacı",https://www.etirsah.com/az/product/461,Stokda Var
love-story,Love Story,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Love-Story-Chlo%C3%A9.jpg,,Qadın,,,,Chloé,"armud, berqamot, limon, neroli, qreyfrut","portağal-çiçəyi, qızılgül, şaftalı, stefanotis","müşk, paçuli, sidr, kaşmir-ağacı",https://www.etirsah.com/az/product/462,Stokda Yoxdur
nomade,Nomade,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Nomade-Chlo%C3%A9.jpg,,Qadın,20.00,34.00,52.00,Chloé,"berqamot, limon, portağal, mirabelle-gavalı","freziya, jasmin, qızılgül, şaftalı","ağ-müşk, paçuli, palıd-mamırı, səndəl, ənbər-ağacı",https://www.etirsah.com/az/product/463,Stokda Var
amber-malaki,Amber Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---AMBER-MALAKI-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Chopard,portağal-çiçəyi,"vanil, büxur-ladan","labdanum, papirus, ənbər",https://www.etirsah.com/az/product/464,Stokda Var
oud-malaki,Oud Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---OUD-MALAKI-FOR-MEN.jpg,,Kişi,,,,Chopard,"lavanda, qreyfrut, yovşan-artemisia","dəri, tütün, ədviyyatlar","ağac-notları, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/465,Stokda Yoxdur
oud-malaki,Oud Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---OUD-MALAKI-FOR-MEN.jpg,,Kişi,38.00,70.00,112.00,Chopard,"lavanda, qreyfrut, yovşan-artemisia","dəri, tütün, ədviyyatlar","ağac-notları, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/466,Stokda Var
oud-malaki,Oud Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---OUD-MALAKI-FOR-MEN.jpg,,Kişi,,,,Chopard,"lavanda, qreyfrut, yovşan-artemisia","dəri, tütün, ədviyyatlar","ağac-notları, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/467,Stokda Yoxdur
rose-malaki,Rose Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---ROSE-MALAKI-FOR-UNISEX.jpg,,Unisex,38.00,70.00,112.00,Chopard,zəfəran,damask-qızılgülü,sidr,https://www.etirsah.com/az/product/468,Stokda Var
rose-malaki,Rose Malaki,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CHOPARD/CHOPARD---ROSE-MALAKI-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Chopard,zəfəran,damask-qızılgülü,sidr,https://www.etirsah.com/az/product/469,Stokda Var
clinique-happy,Clinique Happy,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/CLINIQUE---CLINIQUE-HAPPY-FOR-MEN.jpg,,Kişi,14.00,22.00,32.00,Clinique,"dəniz-suyu, laym, limon, naringi-mandarin, yaşıl-notlar","freziya, jasmin, qızılgül, inciçiçəyi","müşk, sidr, quayak-ağacı, sərv",https://www.etirsah.com/az/product/470,Stokda Var
1872-men,1872 Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---1872-MEN.jpg,,Kişi,32.00,58.00,92.00,Clive Christian,"ananas, berqamot, hind-qozu, istiot, lavanda, laym, naringi-mandarin, qreyfrut, rozmarin","freziya, jasmin, müşk-sürvəsi-adaçayı, siklamen, gülümbahar","labdanum, müşk, paçuli, sidr, ənbər, olibanum",https://www.etirsah.com/az/product/471,Stokda Var
1872-men,1872 Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---1872-MEN.jpg,,Kişi,32.00,58.00,92.00,Clive Christian,"ananas, berqamot, hind-qozu, istiot, lavanda, laym, naringi-mandarin, qreyfrut, rozmarin","freziya, jasmin, müşk-sürvəsi-adaçayı, siklamen, gülümbahar","labdanum, müşk, paçuli, sidr, ənbər, olibanum",https://www.etirsah.com/az/product/472,Stokda Var
l-for-men,L for Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---L-FOR-MEN.jpg,,Kişi,26.00,46.00,72.00,Clive Christian,"qreyfrut, petitgreyn-sitrus-yarpağı","qızılgül, aqar-ağacı-ud","müşk, sidr, vetivera, küknar",https://www.etirsah.com/az/product/473,Stokda Var
l-for-men,L for Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---L-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Clive Christian,"qreyfrut, petitgreyn-sitrus-yarpağı","qızılgül, aqar-ağacı-ud","müşk, sidr, vetivera, küknar",https://www.etirsah.com/az/product/474,Stokda Var
l-for-women,L for Women,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---L-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Clive Christian,"çəhrayı-istiot, qara-istiot, yovşan-artemisia, ağ-istiot","jasmin, damask-qızılgülü","paçuli, sidr, vanil, vetivera",https://www.etirsah.com/az/product/475,Stokda Var
no-1-for-men,No 1 For Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---No.-1-FOR-MEN.jpg,,Kişi,,,,Clive Christian,"acı-bibər, hil, hind-qozu, laym, naringi-mandarin, qreyfrut, yovşan-artemisia, zirə","ilanq-ilanq, jasmin, qızılgül, süsən, geliotrop, inciçiçəyi","müşk, sidr, səndəl, tonka-lobyası, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/476,Stokda Yoxdur
no-1-for-men,No 1 For Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---No.-1-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Clive Christian,"acı-bibər, hil, hind-qozu, laym, naringi-mandarin, qreyfrut, yovşan-artemisia, zirə","ilanq-ilanq, jasmin, qızılgül, süsən, geliotrop, inciçiçəyi","müşk, sidr, səndəl, tonka-lobyası, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/477,Stokda Var
no-1-for-women,No. 1 For Women,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---NO.1-WOMEN.jpg,,Qadın,38.00,70.00,112.00,Clive Christian,"ananas, berqamot, hil, limon, şaftalı, ərik, gavalı, paprika","ilanq-ilanq, jasmin, qızılgül, süsən, qərənfil","benzoin, müşk, səndəl, tonka-lobyası, vanil, ənbər, virciniya-sidri",https://www.etirsah.com/az/product/478,Stokda Var
no1-imperial-for-men,No.1 Imperial For Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---No1-IMPERIAL-FOR-MEN.jpg,,Kişi,38.00,70.00,112.00,Clive Christian,sitrus,ədviyyatlar,"ağac-notları, müşk",https://www.etirsah.com/az/product/479,Stokda Var
noble-vii-cosmos-flower,Noble VII Cosmos Flower,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---NOBLE-VII-COSMOS-FLOWER-FOR-WOMEN.jpg,,Qadın,26.00,46.00,72.00,Clive Christian,"alma, çəhrayı-istiot, naringi-mandarin, rom","bənövşə, ilanq-ilanq, jasmin, osmantus, gavalı","benzoin, dəri, karamel, ənbər, kakao",https://www.etirsah.com/az/product/480,Stokda Var
x-men,X Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---X-MEN.jpg,,Kişi,26.00,46.00,72.00,Clive Christian,"ananas, berqamot, rəvənd","acı-bibər, jasmin, süsən","darçın, labdanum, palıd-mamırı, sidr, vanil, vetivera, ənbər, stiraks",https://www.etirsah.com/az/product/481,Stokda Var
x-men,X Men,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CLIVE%20CHRISTIAN/CLIVE-CHRISTIAN---X-MEN.jpg,,Kişi,32.00,58.00,92.00,Clive Christian,"ananas, berqamot, rəvənd","acı-bibər, jasmin, süsən","darçın, labdanum, palıd-mamırı, sidr, vanil, vetivera, ənbər, stiraks",https://www.etirsah.com/az/product/482,Stokda Var
blue-santal,Blue Santal,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/COMME-des-GARCONS---BLUE-SANTAL-FOR-UNISEX.jpg,,Unisex,32.00,58.00,92.00,Comme des Garcons,"şam-ağacı, səndəl",ardıc-giləmeyvəsi,istiot,https://www.etirsah.com/az/product/483,Stokda Var
comme-des-garcons-2,Comme des Garcons 2,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/COMME-des-GARCONS---COMME-des-GARCONS-2-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Comme des Garcons,"aldehidlər, qara-çay, naringi-mandarin, tütəkotu","darçın, hind-qozu, keşniş, maqnoliya, zirə, mürəkkəb","ağ-sidr, labdanum, paçuli, vetivera, ənbər, büxur-ladan",https://www.etirsah.com/az/product/484,Stokda Var
scent-intense,Scent Intense,https://www.etirsah.com/storage/photos/shares/etirler_en_son/C%20brendleri/CoSTUME-NATIONAL---SCENT-INTENSE-FOR-WOMEN.jpg,,Unisex,20.00,34.00,52.00,Costume Natıonal,"alma, berqamot, qara-çay, darçın","jasmin, hibiskus, davana","dəri, kəhrəba, paçuli, səndəl, ənbər, olibanum",https://www.etirsah.com/az/product/485,Stokda Var
aventus-for-her,Aventus for Her,https://www.etirsah.com/storage/photos/shares/etirler_yeni/A-VENTUS-FOR-HER.jpg,,Qadın,,,,Creed,"alma, berqamot, bənövşə, çəhrayı-istiot, limon, paçuli","müşk, qızılgül, səndəl, stiraks","ilanq-ilanq, şaftalı, yasəmən, ənbər, qara-qarağat",https://www.etirsah.com/az/product/486,Stokda Yoxdur
aventus-for-her,Aventus for Her,https://www.etirsah.com/storage/photos/shares/etirler_yeni/A-VENTUS-FOR-HER.jpg,,Qadın,,,,Creed,"alma, berqamot, bənövşə, çəhrayı-istiot, limon, paçuli","müşk, qızılgül, səndəl, stiraks","ilanq-ilanq, qara-istiot, şaftalı, yasəmən, ənbər, qara-qarağat",https://www.etirsah.com/az/product/487,Stokda Yoxdur
aventus-for-her,Aventus for Her,https://www.etirsah.com/storage/photos/shares/etirler_yeni/A-VENTUS-FOR-HER.jpg,,Qadın,26.00,46.00,72.00,Creed,"alma, berqamot, bənövşə, çəhrayı-istiot, limon, paçuli","müşk, qızılgül, səndəl, stiraks","ilanq-ilanq, şaftalı, yasəmən, ənbər, qara-qarağat",https://www.etirsah.com/az/product/488,Stokda Var
aventus,Aventus,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---AVENTUS-FOR-MEN.jpg,,Kişi,,,,Creed,"alma, ananas, berqamot, qara-qarağat","jasmin, paçuli, qızılgül, tozağacı","müşk, palıd-mamırı, vanil, boz-ənbər",https://www.etirsah.com/az/product/489,Stokda Yoxdur
aventus,Aventus,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---AVENTUS-FOR-MEN.jpg,,Kişi,38.00,70.00,112.00,Creed,"alma, ananas, berqamot, qara-qarağat","jasmin, paçuli, qızılgül, tozağacı","müşk, palıd-mamırı, vanil, boz-ənbər",https://www.etirsah.com/az/product/490,Stokda Var
aventus,Aventus,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---AVENTUS-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Creed,"alma, ananas, berqamot, qara-qarağat","jasmin, paçuli, qızılgül, tozağacı","müşk, palıd-mamırı, vanil, boz-ənbər",https://www.etirsah.com/az/product/491,Stokda Var
aventus,Aventus,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---AVENTUS-FOR-MEN.jpg,,Kişi,14.00,22.00,32.00,Creed,"alma, ananas, berqamot, qara-qarağat","jasmin, paçuli, qızılgül, tozağacı","müşk, palıd-mamırı, vanil, boz-ənbər",https://www.etirsah.com/az/product/492,Stokda Var
black-aventus,Black Aventus,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---AVENTUS-FOR-MEN.jpg,,Kişi,38.00,70.00,112.00,Creed,"alma, ananas, berqamot, qara-qarağat","jasmin, paçuli, qızılgül, tozağacı","müşk, palıd-mamırı, vanil, boz-ənbər",https://www.etirsah.com/az/product/493,Stokda Var
erolfa,Erolfa,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---EROLFA-FOR-MEN.jpg,,Kişi,20.00,34.00,52.00,Creed,"berqamot, bənövşə, limon, yaşıl-notlar, yemiş, zirə","istiot, jasmin, ot, şam-ağacı, zəncəfil, siklamen, muskat-çiçəyi","müşk, palıd-mamırı, sidr, səndəl, ənbər",https://www.etirsah.com/az/product/494,Stokda Var
green-irish-tweed,Green Irish Tweed,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---GREEN-IRISH-TWEED-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Creed,"limon, süsən",bənövşə-yarpağı,"səndəl, boz-ənbər",https://www.etirsah.com/az/product/495,Stokda Var
himalaya,Himalaya,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---HIMALAYA-FOR-MEN.jpg,,Kişi,32.00,58.00,92.00,Creed,"berqamot, limon, qreyfrut",səndəl,"müşk, sidr, boz-ənbər",https://www.etirsah.com/az/product/496,Stokda Var
jardin-damalfi,Jardin d’Amalfi,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/CREED---JARDIN-D%27AMALFI-FOR-UNISEX.jpg,,Unisex,20.00,34.00,52.00,Creed,"berqamot, çəhrayı-istiot, neroli, tanqerin","alma, bolqar-qızılgülü, virciniya-sidri","ağ-müşk, darçın, vetivera",https://www.etirsah.com/az/product/497,Stokda Var
love-in-white,Love in White,https://www.etirsah.com/storage/photos/shares/etirler_en_son/CREED/Creed-Love-in-White.jpg,,Qadın,32.00,58.00,92.00,Creed,portağal,"bolqar-qızılgülü, jasmin, maqnoliya, nərgiz, süsən, düyü","səndəl, vanil, boz-ənbər",https://www.etirsah.com/az/product/498,Stokda Var
